transaction_amount,transaction_hour,product_category,quantity,payment_method,device_type,customer_age,customer_gender,is_holiday,label_is_fraud
,16.0,online_shopping,1,unknown,unknown,73.0,M,False,1.0
848.98,16.0,online_shopping,1,unknown,unknown,85.0,,False,1.0
7522.15,,entertainment,1,unknown,unknown,33.0,M,False,0.0
657.18,6.0,entertainment,1,unknown,unknown,27.0,,False,0.0
7774.54,0.0,travel,1,unknown,unknown,24.0,M,False,1.0
2902.48,,entertainment,1,unknown,unknown,53.0,,False,1.0
896.17,6.0,,1,unknown,unknown,76.0,F,False,0.0
919.1,,travel,1,unknown,unknown,20.0,M,False,1.0
5872.62,10.0,fitness_and_medical,1,unknown,unknown,57.0,,False,1.0
7724.33,16.0,travel,1,unknown,unknown,80.0,M,False,1.0
4218.36,15.0,fitness_and_medical,1,unknown,unknown,69.0,M,False,0.0
6056.75,6.0,online_shopping,1,unknown,unknown,26.0,F,False,0.0
4965.38,,entertainment,1,unknown,unknown,72.0,F,False,1.0
4904.35,0.0,fitness_and_medical,1,unknown,unknown,25.0,M,False,0.0
9991.71,21.0,online_shopping,1,unknown,unknown,39.0,F,False,0.0
8495.58,4.0,fitness_and_medical,1,unknown,unknown,44.0,F,False,1.0
3222.85,,online_shopping,1,unknown,unknown,48.0,M,False,0.0
8617.28,16.0,travel,1,unknown,unknown,75.0,M,False,0.0
,,travel,1,unknown,unknown,56.0,F,False,0.0
,21.0,,1,unknown,unknown,22.0,M,False,
6433.91,12.0,travel,1,unknown,unknown,74.0,F,False,0.0
9542.03,23.0,entertainment,1,unknown,unknown,53.0,F,False,1.0
3167.64,18.0,entertainment,1,unknown,unknown,73.0,,False,1.0
4101.21,3.0,travel,1,unknown,unknown,62.0,F,False,
527.67,7.0,entertainment,1,unknown,unknown,20.0,F,False,1.0
3232.09,16.0,fitness_and_medical,1,unknown,unknown,26.0,F,False,0.0
4627.63,21.0,travel,1,unknown,unknown,55.0,M,False,1.0
5858.02,,online_shopping,1,unknown,unknown,51.0,,False,0.0
,16.0,online_shopping,1,unknown,unknown,78.0,M,False,1.0
8665.24,7.0,fitness_and_medical,1,unknown,unknown,25.0,M,False,1.0
8463.53,16.0,online_shopping,1,unknown,unknown,56.0,F,False,1.0
2757.23,23.0,fitness_and_medical,1,unknown,unknown,29.0,F,False,0.0
4161.05,,travel,1,unknown,unknown,38.0,M,False,0.0
3994.42,17.0,,1,unknown,unknown,39.0,M,False,1.0
6542.38,10.0,fitness_and_medical,1,unknown,unknown,23.0,M,False,0.0
2666.1,17.0,,1,unknown,unknown,65.0,F,False,1.0
9381.69,21.0,fitness_and_medical,1,unknown,unknown,25.0,F,False,1.0
9134.47,0.0,online_shopping,1,unknown,unknown,77.0,M,False,1.0
1832.31,14.0,travel,1,unknown,unknown,50.0,,False,0.0
8780.01,20.0,entertainment,1,unknown,unknown,78.0,M,False,0.0
2426.69,,travel,1,unknown,unknown,68.0,M,False,1.0
246.6,15.0,,1,unknown,unknown,38.0,F,False,0.0
9099.9,23.0,entertainment,1,unknown,unknown,50.0,F,False,
2764.51,22.0,entertainment,1,unknown,unknown,53.0,M,False,1.0
9026.64,6.0,travel,1,unknown,unknown,24.0,F,False,
651.23,10.0,online_shopping,1,unknown,unknown,21.0,M,False,0.0
5201.98,5.0,entertainment,1,unknown,unknown,86.0,M,False,0.0
442.45,6.0,fitness_and_medical,1,unknown,unknown,82.0,,False,0.0
8283.43,18.0,,1,unknown,unknown,82.0,M,False,0.0
5764.62,19.0,entertainment,1,unknown,unknown,37.0,M,False,0.0
774.15,20.0,online_shopping,1,unknown,unknown,56.0,M,False,
8125.61,9.0,entertainment,1,unknown,unknown,50.0,F,False,
6240.05,23.0,online_shopping,1,unknown,unknown,69.0,F,False,0.0
1413.79,17.0,fitness_and_medical,1,unknown,unknown,21.0,M,False,1.0
1996.61,11.0,online_shopping,1,unknown,unknown,41.0,F,False,1.0
5528.56,10.0,online_shopping,1,unknown,unknown,53.0,M,False,0.0
485.12,2.0,fitness_and_medical,1,unknown,unknown,74.0,M,False,1.0
1169.44,9.0,entertainment,1,unknown,unknown,54.0,F,False,0.0
7692.08,20.0,travel,1,unknown,unknown,79.0,F,False,0.0
1629.05,3.0,entertainment,1,unknown,unknown,81.0,F,False,1.0
6051.44,9.0,travel,1,unknown,unknown,83.0,F,False,
303.59,22.0,fitness_and_medical,1,unknown,unknown,37.0,F,False,0.0
691.58,12.0,online_shopping,1,unknown,unknown,35.0,M,False,0.0
,6.0,travel,1,unknown,unknown,49.0,M,False,1.0
4711.26,1.0,fitness_and_medical,1,unknown,unknown,84.0,F,False,0.0
9457.62,3.0,travel,1,unknown,unknown,34.0,M,False,1.0
6171.54,6.0,,1,unknown,unknown,44.0,F,False,1.0
4215.99,9.0,entertainment,1,unknown,unknown,53.0,M,False,1.0
1531.84,15.0,fitness_and_medical,1,unknown,unknown,23.0,F,False,1.0
5628.53,21.0,,1,unknown,unknown,26.0,M,False,0.0
3980.61,17.0,,1,unknown,unknown,30.0,,False,1.0
6260.92,,entertainment,1,unknown,unknown,45.0,F,False,0.0
555.14,6.0,travel,1,unknown,unknown,19.0,F,False,0.0
,14.0,online_shopping,1,unknown,unknown,71.0,M,False,1.0
3045.36,6.0,travel,1,unknown,unknown,68.0,M,False,1.0
9665.98,5.0,fitness_and_medical,1,unknown,unknown,53.0,F,False,1.0
,3.0,entertainment,1,unknown,unknown,48.0,M,False,1.0
4882.04,2.0,entertainment,1,unknown,unknown,66.0,M,False,0.0
9533.99,23.0,travel,1,unknown,unknown,47.0,M,False,
6183.41,5.0,,1,unknown,unknown,82.0,F,False,0.0
8429.89,11.0,fitness_and_medical,1,unknown,unknown,74.0,M,False,1.0
3942.49,21.0,online_shopping,1,unknown,unknown,69.0,,False,0.0
9269.47,8.0,online_shopping,1,unknown,unknown,51.0,F,False,0.0
5160.22,9.0,travel,1,unknown,unknown,75.0,F,False,1.0
816.64,2.0,travel,1,unknown,unknown,74.0,M,False,0.0
306.86,14.0,travel,1,unknown,unknown,50.0,F,False,0.0
6166.86,1.0,travel,1,unknown,unknown,53.0,M,False,
7832.3,23.0,online_shopping,1,unknown,unknown,84.0,M,False,1.0
5422.67,22.0,online_shopping,1,unknown,unknown,42.0,M,False,1.0
,0.0,travel,1,unknown,unknown,42.0,M,False,
2266.66,1.0,entertainment,1,unknown,unknown,23.0,F,False,0.0
8582.92,17.0,fitness_and_medical,1,unknown,unknown,41.0,F,False,1.0
3723.02,,fitness_and_medical,1,unknown,unknown,23.0,F,False,0.0
612.87,15.0,online_shopping,1,unknown,unknown,82.0,,False,0.0
8109.67,18.0,online_shopping,1,unknown,unknown,62.0,F,False,1.0
6484.06,1.0,travel,1,unknown,unknown,51.0,M,False,1.0
5058.47,12.0,entertainment,1,unknown,unknown,48.0,F,False,1.0
7197.45,7.0,fitness_and_medical,1,unknown,unknown,21.0,F,False,1.0
1353.92,13.0,online_shopping,1,unknown,unknown,73.0,F,False,1.0
4391.82,17.0,travel,1,unknown,unknown,38.0,F,False,1.0
4261.55,0.0,entertainment,1,unknown,unknown,63.0,F,False,0.0
8351.89,17.0,online_shopping,1,unknown,unknown,85.0,M,False,0.0
4464.46,1.0,online_shopping,1,unknown,unknown,29.0,F,False,1.0
2182.57,5.0,entertainment,1,unknown,unknown,69.0,F,False,1.0
4729.83,10.0,travel,1,unknown,unknown,21.0,M,False,1.0
9320.06,10.0,entertainment,1,unknown,unknown,53.0,M,False,0.0
3398.22,9.0,travel,1,unknown,unknown,74.0,M,False,1.0
1510.65,,online_shopping,1,unknown,unknown,57.0,F,False,1.0
4709.32,19.0,fitness_and_medical,1,unknown,unknown,51.0,F,False,0.0
,14.0,entertainment,1,unknown,unknown,67.0,M,False,0.0
4013.77,15.0,online_shopping,1,unknown,unknown,74.0,F,False,0.0
7355.21,14.0,fitness_and_medical,1,unknown,unknown,20.0,M,False,0.0
6855.9,3.0,travel,1,unknown,unknown,57.0,F,False,1.0
5938.58,1.0,travel,1,unknown,unknown,63.0,M,False,0.0
1293.48,9.0,fitness_and_medical,1,unknown,unknown,42.0,F,False,1.0
2910.66,17.0,travel,1,unknown,unknown,41.0,M,False,0.0
7669.51,1.0,travel,1,unknown,unknown,70.0,M,False,0.0
6719.18,19.0,entertainment,1,unknown,unknown,81.0,M,False,0.0
310.13,0.0,online_shopping,1,unknown,unknown,53.0,M,False,0.0
4255.08,8.0,entertainment,1,unknown,unknown,81.0,M,False,0.0
,,entertainment,1,unknown,unknown,75.0,M,False,0.0
7630.56,17.0,travel,1,unknown,unknown,36.0,,False,1.0
7293.76,13.0,travel,1,unknown,unknown,83.0,M,False,1.0
417.03,13.0,,1,unknown,unknown,74.0,M,False,1.0
9647.75,23.0,,1,unknown,unknown,44.0,M,False,1.0
2182.57,2.0,,1,unknown,unknown,57.0,F,False,0.0
1117.22,8.0,travel,1,unknown,unknown,31.0,M,False,0.0
2324.38,,entertainment,1,unknown,unknown,21.0,F,False,
1026.59,,,1,unknown,unknown,48.0,F,False,0.0
4422.35,12.0,fitness_and_medical,1,unknown,unknown,35.0,F,False,1.0
2266.55,11.0,fitness_and_medical,1,unknown,unknown,25.0,M,False,0.0
4732.33,6.0,travel,1,unknown,unknown,74.0,F,False,1.0
5099.29,15.0,entertainment,1,unknown,unknown,27.0,M,False,1.0
3733.34,10.0,entertainment,1,unknown,unknown,66.0,F,False,1.0
1605.8,22.0,online_shopping,1,unknown,unknown,53.0,F,False,1.0
7835.62,6.0,online_shopping,1,unknown,unknown,59.0,M,False,1.0
5563.41,6.0,online_shopping,1,unknown,unknown,53.0,F,False,1.0
7904.54,,fitness_and_medical,1,unknown,unknown,30.0,F,False,1.0
,0.0,online_shopping,1,unknown,unknown,53.0,F,False,0.0
7008.76,7.0,online_shopping,1,unknown,unknown,77.0,F,False,0.0
5274.69,6.0,entertainment,1,unknown,unknown,69.0,F,False,1.0
,,online_shopping,1,unknown,unknown,38.0,M,False,0.0
8135.75,5.0,entertainment,1,unknown,unknown,80.0,F,False,0.0
8339.49,6.0,online_shopping,1,unknown,unknown,50.0,F,False,0.0
8122.31,22.0,fitness_and_medical,1,unknown,unknown,51.0,M,False,0.0
9305.73,18.0,,1,unknown,unknown,27.0,F,False,
1185.12,14.0,fitness_and_medical,1,unknown,unknown,38.0,M,False,1.0
,11.0,travel,1,unknown,unknown,41.0,F,False,0.0
3596.22,11.0,fitness_and_medical,1,unknown,unknown,36.0,M,False,0.0
5301.68,18.0,,1,unknown,unknown,68.0,F,False,0.0
7377.0,16.0,travel,1,unknown,unknown,49.0,F,False,1.0
5962.23,4.0,fitness_and_medical,1,unknown,unknown,32.0,F,False,1.0
5574.08,6.0,online_shopping,1,unknown,unknown,33.0,F,False,0.0
5582.36,1.0,,1,unknown,unknown,40.0,M,False,1.0
9806.08,,entertainment,1,unknown,unknown,83.0,M,False,0.0
4000.68,15.0,fitness_and_medical,1,unknown,unknown,47.0,F,False,0.0
3366.77,11.0,entertainment,1,unknown,unknown,43.0,F,False,1.0
1787.39,18.0,fitness_and_medical,1,unknown,unknown,27.0,M,False,0.0
180.04,22.0,travel,1,unknown,unknown,51.0,M,False,0.0
7771.61,5.0,travel,1,unknown,unknown,38.0,F,False,0.0
5660.21,7.0,fitness_and_medical,1,unknown,unknown,73.0,M,False,
7464.69,16.0,travel,1,unknown,unknown,76.0,F,False,0.0
4071.55,15.0,online_shopping,1,unknown,unknown,53.0,F,False,1.0
,22.0,travel,1,unknown,unknown,67.0,M,False,1.0
3093.75,,fitness_and_medical,1,unknown,unknown,57.0,M,False,0.0
5063.57,4.0,entertainment,1,unknown,unknown,72.0,F,False,1.0
5612.33,0.0,entertainment,1,unknown,unknown,85.0,M,False,1.0
4415.53,,fitness_and_medical,1,unknown,unknown,79.0,F,False,0.0
6235.0,3.0,fitness_and_medical,1,unknown,unknown,49.0,M,False,1.0
5603.68,8.0,online_shopping,1,unknown,unknown,53.0,M,False,
2045.89,14.0,online_shopping,1,unknown,unknown,59.0,M,False,1.0
5631.76,0.0,travel,1,unknown,unknown,69.0,M,False,0.0
,6.0,entertainment,1,unknown,unknown,19.0,M,False,1.0
,4.0,fitness_and_medical,1,unknown,unknown,32.0,,False,1.0
8208.84,19.0,fitness_and_medical,1,unknown,unknown,53.0,M,False,0.0
200.18,9.0,online_shopping,1,unknown,unknown,53.0,F,False,
3196.0,8.0,online_shopping,1,unknown,unknown,66.0,M,False,
8876.17,23.0,online_shopping,1,unknown,unknown,63.0,M,False,0.0
1997.86,7.0,entertainment,1,unknown,unknown,28.0,M,False,0.0
4122.24,19.0,,1,unknown,unknown,24.0,F,False,1.0
,5.0,entertainment,1,unknown,unknown,24.0,F,False,1.0
7734.87,3.0,travel,1,unknown,unknown,48.0,,False,0.0
4058.58,16.0,online_shopping,1,unknown,unknown,77.0,F,False,1.0
4842.23,3.0,,1,unknown,unknown,66.0,M,False,1.0
7496.98,6.0,fitness_and_medical,1,unknown,unknown,24.0,F,False,1.0
5724.58,2.0,online_shopping,1,unknown,unknown,36.0,M,False,0.0
501.09,,entertainment,1,unknown,unknown,50.0,F,False,1.0
,21.0,travel,1,unknown,unknown,77.0,M,False,0.0
184.02,9.0,online_shopping,1,unknown,unknown,33.0,F,False,0.0
7834.5,17.0,travel,1,unknown,unknown,53.0,F,False,1.0
1153.17,12.0,online_shopping,1,unknown,unknown,33.0,M,False,0.0
6451.53,9.0,entertainment,1,unknown,unknown,65.0,F,False,0.0
,11.0,entertainment,1,unknown,unknown,41.0,,False,1.0
7907.59,19.0,travel,1,unknown,unknown,28.0,M,False,1.0
1037.51,21.0,fitness_and_medical,1,unknown,unknown,19.0,F,False,1.0
2901.48,6.0,travel,1,unknown,unknown,55.0,F,False,0.0
6912.42,14.0,entertainment,1,unknown,unknown,65.0,M,False,1.0
3194.37,21.0,fitness_and_medical,1,unknown,unknown,22.0,F,False,1.0
9354.39,21.0,fitness_and_medical,1,unknown,unknown,24.0,F,False,1.0
2485.82,8.0,entertainment,1,unknown,unknown,72.0,M,False,1.0
9270.62,0.0,entertainment,1,unknown,unknown,31.0,F,False,1.0
3328.98,6.0,,1,unknown,unknown,57.0,F,False,0.0
348.35,11.0,entertainment,1,unknown,unknown,38.0,F,False,1.0
4705.14,15.0,online_shopping,1,unknown,unknown,52.0,M,False,0.0
4202.06,20.0,entertainment,1,unknown,unknown,42.0,F,False,0.0
,14.0,online_shopping,1,unknown,unknown,75.0,F,False,0.0
4008.16,5.0,travel,1,unknown,unknown,73.0,M,False,1.0
9189.97,2.0,fitness_and_medical,1,unknown,unknown,54.0,F,False,1.0
5985.93,21.0,online_shopping,1,unknown,unknown,74.0,,False,0.0
2067.71,5.0,,1,unknown,unknown,24.0,M,False,
4103.02,9.0,fitness_and_medical,1,unknown,unknown,84.0,M,False,0.0
6854.05,18.0,fitness_and_medical,1,unknown,unknown,64.0,F,False,0.0
,6.0,entertainment,1,unknown,unknown,53.0,F,False,1.0
162.91,11.0,online_shopping,1,unknown,unknown,65.0,F,False,1.0
4796.18,2.0,online_shopping,1,unknown,unknown,61.0,M,False,0.0
9086.16,4.0,online_shopping,1,unknown,unknown,28.0,M,False,1.0
6964.27,,entertainment,1,unknown,unknown,81.0,M,False,0.0
3563.99,1.0,travel,1,unknown,unknown,50.0,M,False,
6086.72,13.0,fitness_and_medical,1,unknown,unknown,38.0,,False,0.0
207.41,21.0,travel,1,unknown,unknown,34.0,M,False,1.0
4116.46,14.0,fitness_and_medical,1,unknown,unknown,86.0,F,False,0.0
,12.0,fitness_and_medical,1,unknown,unknown,30.0,F,False,1.0
5450.89,18.0,travel,1,unknown,unknown,30.0,,False,1.0
8163.86,12.0,entertainment,1,unknown,unknown,59.0,,False,1.0
3651.41,23.0,entertainment,1,unknown,unknown,24.0,,False,1.0
4686.09,21.0,fitness_and_medical,1,unknown,unknown,73.0,F,False,1.0
900.51,13.0,fitness_and_medical,1,unknown,unknown,63.0,F,False,1.0
6229.42,11.0,travel,1,unknown,unknown,75.0,F,False,0.0
7953.98,8.0,online_shopping,1,unknown,unknown,55.0,M,False,1.0
283.01,17.0,online_shopping,1,unknown,unknown,72.0,M,False,1.0
2403.58,16.0,,1,unknown,unknown,84.0,M,False,1.0
1191.61,1.0,online_shopping,1,unknown,unknown,78.0,F,False,1.0
6659.0,1.0,online_shopping,1,unknown,unknown,53.0,F,False,1.0
7210.96,17.0,entertainment,1,unknown,unknown,34.0,M,False,0.0
764.24,7.0,fitness_and_medical,1,unknown,unknown,22.0,F,False,1.0
936.93,20.0,entertainment,1,unknown,unknown,72.0,M,False,0.0
,5.0,fitness_and_medical,1,unknown,unknown,55.0,F,False,0.0
,21.0,entertainment,1,unknown,unknown,50.0,F,False,0.0
144.45,23.0,travel,1,unknown,unknown,53.0,M,False,1.0
,18.0,online_shopping,1,unknown,unknown,55.0,M,False,
6785.54,19.0,online_shopping,1,unknown,unknown,74.0,F,False,
7429.4,3.0,travel,1,unknown,unknown,54.0,M,False,1.0
6419.1,17.0,online_shopping,1,unknown,unknown,64.0,M,False,
8235.11,16.0,entertainment,1,unknown,unknown,21.0,M,False,1.0
1430.15,2.0,travel,1,unknown,unknown,45.0,F,False,0.0
9733.95,,online_shopping,1,unknown,unknown,76.0,M,False,0.0
2880.04,19.0,online_shopping,1,unknown,unknown,49.0,,False,0.0
2314.45,7.0,travel,1,unknown,unknown,57.0,F,False,1.0
874.24,0.0,online_shopping,1,unknown,unknown,25.0,F,False,1.0
3143.95,3.0,online_shopping,1,unknown,unknown,29.0,F,False,0.0
7973.79,9.0,online_shopping,1,unknown,unknown,75.0,M,False,1.0
4150.2,4.0,,1,unknown,unknown,71.0,F,False,1.0
7401.9,17.0,travel,1,unknown,unknown,29.0,M,False,0.0
5541.86,14.0,travel,1,unknown,unknown,39.0,,False,1.0
5961.32,2.0,travel,1,unknown,unknown,49.0,,False,1.0
5386.64,12.0,fitness_and_medical,1,unknown,unknown,53.0,M,False,1.0
1808.75,19.0,travel,1,unknown,unknown,28.0,F,False,1.0
3021.97,3.0,fitness_and_medical,1,unknown,unknown,78.0,F,False,1.0
2728.04,11.0,online_shopping,1,unknown,unknown,83.0,M,False,0.0
6441.88,19.0,entertainment,1,unknown,unknown,53.0,M,False,0.0
8884.81,19.0,entertainment,1,unknown,unknown,73.0,F,False,1.0
2437.09,11.0,fitness_and_medical,1,unknown,unknown,69.0,F,False,1.0
4960.38,12.0,online_shopping,1,unknown,unknown,54.0,F,False,0.0
3768.2,10.0,online_shopping,1,unknown,unknown,66.0,F,False,1.0
9641.51,6.0,fitness_and_medical,1,unknown,unknown,81.0,F,False,
9355.32,23.0,,1,unknown,unknown,70.0,F,False,1.0
4983.1,20.0,online_shopping,1,unknown,unknown,81.0,F,False,0.0
721.39,7.0,fitness_and_medical,1,unknown,unknown,85.0,,False,1.0
,6.0,entertainment,1,unknown,unknown,51.0,M,False,
9149.32,8.0,entertainment,1,unknown,unknown,72.0,M,False,1.0
526.89,0.0,travel,1,unknown,unknown,41.0,M,False,0.0
252.45,,travel,1,unknown,unknown,20.0,F,False,1.0
8582.76,7.0,online_shopping,1,unknown,unknown,47.0,F,False,1.0
,4.0,online_shopping,1,unknown,unknown,31.0,F,True,0.0
9708.53,17.0,fitness_and_medical,1,unknown,unknown,42.0,F,False,
5508.03,16.0,entertainment,1,unknown,unknown,43.0,F,False,0.0
6018.15,13.0,fitness_and_medical,1,unknown,unknown,53.0,F,False,0.0
8897.32,1.0,travel,1,unknown,unknown,53.0,F,False,0.0
,2.0,online_shopping,1,unknown,unknown,84.0,M,False,0.0
9454.24,15.0,,1,unknown,unknown,35.0,F,False,1.0
6095.93,11.0,fitness_and_medical,1,unknown,unknown,71.0,M,False,0.0
5596.78,7.0,fitness_and_medical,1,unknown,unknown,78.0,M,False,1.0
5765.83,2.0,online_shopping,1,unknown,unknown,83.0,F,False,0.0
867.23,1.0,online_shopping,1,unknown,unknown,83.0,,False,1.0
8958.66,2.0,travel,1,unknown,unknown,74.0,F,False,0.0
2305.81,22.0,,1,unknown,unknown,37.0,F,False,
7044.27,9.0,,1,unknown,unknown,42.0,M,False,1.0
3642.77,15.0,online_shopping,1,unknown,unknown,62.0,F,False,0.0
2142.72,17.0,online_shopping,1,unknown,unknown,30.0,M,False,1.0
3226.34,12.0,entertainment,1,unknown,unknown,23.0,M,False,0.0
638.63,14.0,online_shopping,1,unknown,unknown,29.0,,False,0.0
3659.61,19.0,entertainment,1,unknown,unknown,39.0,F,False,1.0
4012.92,18.0,entertainment,1,unknown,unknown,53.0,F,False,0.0
,17.0,online_shopping,1,unknown,unknown,26.0,M,False,0.0
1699.44,7.0,entertainment,1,unknown,unknown,21.0,M,False,1.0
4015.61,22.0,fitness_and_medical,1,unknown,unknown,40.0,F,False,0.0
6358.77,3.0,travel,1,unknown,unknown,47.0,F,False,1.0
8756.51,8.0,online_shopping,1,unknown,unknown,59.0,F,False,1.0
5121.3,3.0,fitness_and_medical,1,unknown,unknown,48.0,F,False,0.0
4375.59,5.0,online_shopping,1,unknown,unknown,59.0,M,False,1.0
9166.18,20.0,travel,1,unknown,unknown,34.0,F,False,1.0
5762.49,11.0,online_shopping,1,unknown,unknown,61.0,M,False,0.0
